Statistical profiling result from isolate-0x2c85af0-4278-v8.log, (33070 ticks, 80 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *routeHandler /home/isucon/isucari/webapp/nodejs/node_modules/fastify/lib/route.js:270:25
      3    0.0%    0.0%  LazyCompile: *parseLengthCodedIntNoBigCheck /home/isucon/isucari/webapp/nodejs/node_modules/mysql2/lib/packets/packet.js:644:32
      3    0.0%    0.0%  LazyCompile: *onconnection net.js:1444:22
      3    0.0%    0.0%  LazyCompile: *format url.js:572:39
      3    0.0%    0.0%  LazyCompile: *decode /home/isucon/isucari/webapp/nodejs/node_modules/busboy/deps/encoding/encoding.js:897:26
      3    0.0%    0.0%  LazyCompile: *clearIncoming _http_server.js:617:23
      3    0.0%    0.0%  LazyCompile: *Readable.removeListener _stream_readable.js:892:45
      2    0.0%    0.0%  RegExp: ^[a-z0-9.+-]+:
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: ^((?:(?:[0-9a-fA-F]{1,4}):){7}(?:(?:[0-9a-fA-F]{1,4})|:)|(?:(?:[0-9a-fA-F]{1,4}):){6}(?:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|:(?:[0-9a-fA-F]{1,4})|:)|(?:(?:[0-9a-fA-F]{1,4}):){5}(?::((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,2}|:)|(?:(?:[0-9a-fA-F]{1,4}):){4}(?:(:(?:[0-9a-fA-F]{1,4})){0,1}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,3}|:)|(?:(?:[0-9a-fA-F]{1,4}):){3}(?:(:(?:[0-9a-fA-F]{1,4})){0,2}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,4}|:)|(?:(?:[0-9a-fA-F]{1,4}):){2}(?:(:(?:[0-9a-fA-F]{1,4})){0,3}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,5}|:)|(?:(?:[0-9a-fA-F]{1,4}):){1}(?:(:(?:[0-9a-fA-F]{1,4})){0,4}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(:(?:[0-9a-fA-F]{1,4})){1,6}|:)|(?::((?::(?:[0-9a-fA-F]{1,4})){0,5}:((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])|(?::(?:[0-9a-fA-F]{1,4})){1,7}|:)))(%[0-9a-zA-Z]{1,})?$
      2    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.0%  RegExp: ; * {1}
      2    0.0%    0.0%  RegExp: (?:^|\W)chunked(?:$|\W)
      2    0.0%    0.0%  LazyCompile: *setLevel /home/isucon/isucari/webapp/nodejs/node_modules/pino/lib/levels.js:63:19
      2    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      2    0.0%    0.0%  LazyCompile: *push /home/isucon/isucari/webapp/nodejs/node_modules/denque/index.js:130:38
      2    0.0%    0.0%  LazyCompile: *normalizeString path.js:52:25
      2    0.0%    0.0%  LazyCompile: *merge /home/isucon/isucari/webapp/nodejs/node_modules/axios/lib/utils.js:251:15
      2    0.0%    0.0%  LazyCompile: *isEncoding buffer.js:494:40
      2    0.0%    0.0%  LazyCompile: *getItem /home/isucon/isucari/webapp/nodejs/index.js:572:23
      2    0.0%    0.0%  LazyCompile: *fromString buffer.js:379:20
      2    0.0%    0.0%  LazyCompile: *format /home/isucon/isucari/webapp/nodejs/node_modules/sqlstring/lib/SqlString.js:76:35
      2    0.0%    0.0%  LazyCompile: *destroy internal/streams/destroy.js:4:17
      2    0.0%    0.0%  LazyCompile: *addListener events.js:282:58
